,songs,Lyrics
0,Foundation,"There's a scratch on your shoulder Crushes me like, crushes me like lead And I wanna get older All the things I want I really shouldn't get If I triumph, are you watching? Can you separate everything for me? You used to work me out But you never worked it out for me  There's a scratch on your shoulder Crushes me like, crushes me like lead And I wanna get older All the things I want I really shouldn't get If I triumph, are you watching? Can you separate everything for me? You used to work me out But you never worked it out for me  And your head looks good I wanna love it so much I wanna be the one I wanna do what you love And I was lying I don't really wanna be fine It's all over  And there's a scratch on your shoulder It crushes me like, it crushes me like lead And I wanna get older All the things I want I really shouldn't get"
1,Real,"II broke my bones Playing games with you Tired by fun It makes me blue  Oh I, I think I'm into you How much do you want it too? What are you prepared to do? I think I'm gonna make it worse I talk to you, but it don't work I touch you, but it starts to hurt What have I been doing wrong? Tell me what it is you want Tell me what it is you want Tell me what it is you  Oh I think that If I had been enough for you Would I be better? Would I be good? And I'll do you what you like if you'll stay the night You tell me you don't think you should You do it boy Well love I will let you go Love I will let you go Love I will let you go Love I will let you go Oh it's enough to feel better If I could  I itch all night I itch for you You're just my type What's a boy to do?  Oh I, I think I'm into you How much do you want it too? What are you prepared to do? I think I'm gonna make it worse I talk to you, but it don't work I touch you, but it starts to hurt What have I been doing wrong? Tell me what it is you want Tell me what it is you want Tell me what it is you  Oh I think that If I had been enough for you Would I be better? Would I be good? And I'll do you what you like if you'll stay the night You tell me you don't think you should You do it boy Well love I will let you go Love I will let you go Love I will let you go Love I will let you go Oh it's enough to feel better If I could  Yeah, If I had been enough for you Would I be better? Would I be good? And I'll do you what you like if you'll stay the night You tell me you don't think you should I think you should Oh Love I will let you go Love I will let you go Love I will let you go Love I will let you go Oh it's enough to feel better If I could"
2,Shine,"I remember us alone Waiting for the light to go Don't you feel that hunger I've got, so many secrets to show When I saw you on that stage I shiver with the look you gave Don't you hear that rhythm Can you, show me how we can escape  I was biding my time I was trying to hide I'll forget what I've done I will be redefined  It's shaking the sky and I'm following lightning And I'll recover if you keep me alive Don't leave me behind, can you see me, I'm shining And It's you that I've been waiting to find  I'm holding it all tonight I'm folding it all tonight You know that you make it shine It's you that I've been waiting to find  I'm holding it all tonight I'm folding it all tonight You know that you make it shine It's you that I've been waiting to find  Now that we can hear that sound I know that you can hold me down You can't pull me under You can raise everything to the ground Everything I can arrange And every part of me you change Just hold me together Tell me, you'll always want me to stay  I was biding my time I was trying to hide I'll forget what I've done I will be redefined  It's shaking the sky and I'm following lightning And I'll recover if you keep me alive Don't leave me behind, can you see me, I'm shining And It's you that I've been waiting to find  I wanna be the one you steal I wanna be the one you shield I wanna be the one That your love, that your love can heal I wanna be the one you steal I wanna be the one you shield I wanna be the one That your love, your love  It's shaking the sky and I'm following lightning And I'll recover if you keep me alive Don't leave me behind, can you see me, I'm shining And It's you that I've been waiting to find  I'm holding it all tonight I'm folding it all tonight You know that you make it shine It's you that I've been waiting to find  I'm holding it all tonight I'm folding it all tonight You know that you make it shine It's you that I've been waiting to find  It's you that I've been waiting to find It's you that I've been waiting to find It's you that I've been waiting to find"
3,Take Shelter,"I'll wait until you have to go, I'll make it so you never ever know How much I have messed it up!  We're running 'round like we don't care, It's gonna leave its marks somewhere, Do you want to show me something new?  (You go now, reached my top anyway You go now, reached my top anyway)  Just tell me what I have to do, To keep myself apart from you All your colors start to burn  I know I wanted far too much, Then I thought that wouldn't be enough All this talk is closing you.  Take shelter, Take the pressure, Do what you want tonight, it's all right, If you want to get used, You get used!  Take shelter, Take the pressure, Do what you want tonight, it's all right, If you want to get used, Then get used!  I don't really wanna stop myself Nobody's gonna tell me I need help, Are you coming over soon?  I need you at the darkest time You hold me, and I have to shut my eyes I'm shy, cannot be what you like.  (You go down, reached my top anyway You go down, reached my top anyway)  Just tell me what I have to do, To keep myself apart from you All your colors start to burn.  And take shelter, Take the pressure, Do what you want tonight, it's all right, If you want to get used, Then get used!  Take shelter, Take the pressure, Do what you want tonight, it's all right, If you want to get used, Then get used!  I don't really need this pressure to go If you wanna find love, If you wanna find something more I'll be the one to run for you. I don't really need this pressure to go If you wanna find love, If you wanna find something more I'll be the one to run for you!  Take shelter, Take the pressure, Do what you want tonight, it's all right, If you want to get used, Then get used!  Take shelter, Take the pressure, Do what you want tonight, it's all right If you want to get used!"
4,Worship,"Wanna be here tonight Wanna hide in your light Wanna cover my eyes, I feel you reflect in me I worship all that you see  Can I still make it right? Can I be what you like? Can I keep up this fight? I hope that you'll never know Why I need your control  (I'm holy I want you to know it) You're all I need to survive (I'm holy I want you to know it) Blind devotion (I'm holy I want you to know it) And you'll be my sacrifice (I'm holy I want you to know it) You say you love...  I worship, high praises My longing drives me crazy for you My kingdom for your graces I'm not gonna tell nobody I'm not gonna tell nobody 'bout you I'm not gonna tell nobody 'bout you  Gotta hold my head up Gotta move for your touch Gotta keep my lips shut I'll do what you tell me to Cause in darkness I follow you I follow you  (I'm holy I want you to know it) You're all I need to survive (I'm holy I want you to know it) Blind devotion (I'm holy I want you to know it) And you'll be my sacrifice (I'm holy I want you to know it) You say you love...  I worship, high praises My longing drives me crazy for you My kingdom for your graces I'm not gonna tell nobody I'm not gonna tell nobody 'bout you  Just tell me how I can prove I'm the one for your fire And I'll take you higher I'll do it for you And you can worship me too  (I'm holy I want you to know it) (I'm holy I want you to know it) (I'm holy I want you to know it) (I'm holy I want you to know it) (I'm holy I want you to know it) (I'm holy I want you to know it) (I'm holy I want you to know it)  I worship, high praises My longing drives me crazy for you My kingdom for your graces I'm not gonna tell nobody I'm not gonna tell nobody 'bout you  I worship, high praises My longing drives me crazy for you My kingdom for your graces I'm not gonna tell nobody I'm not gonna tell nobody 'bout you I'm not gonna tell nobody 'bout you"
5,Eyes Shut,"Throw your heart to me Let it fall and hit the ground Let it go  Your timing was so wrong I feel the light of me I sigh I don't ever know why I care  Ooh... I've... I've got the lines I've got the lines Yeah, I've got the lines I've got the lines Oh it's brighter this time This type of mine, This disguise Oh you talk to me  Nothing's gonna hurt me with my eyes shut I can see through them I can see through them I am drawing pictures I'm evading I will not use them I will not use them again  And it starts again You come over with your friends I don't want to talk to them  All I really want Is you to understand That I'm a mess I know you'd like me to go wrong You'd like me to be gone  Ooh... I've... I've got the lines I've got the lines Yeah, I've got the lines I've got the lines Oh it's brighter this time This type of mine, This disguise Oh you talk to me  Nothing's gonna hurt me with my eyes shut I can see through them I can see through them I am drawing pictures I'm evading I will not use them I will not use them again  I want to be bigger than life Hurt you Hurt you  I want to be bigger than life Hurt you Hurt you"
6,Ties,"You tell me you like to burn a bridge That you always make mistakes like this Are you having fun? I tell you I've got my secrets too I go hunting for someone like you Are you having fun?  Oh, tell me how did it feel? Did it all get too real for you? Everybody's screaming out your name Are you scared? 'Cause I don't think you're worth it  Tie you, tie you, tie you, tie you I just wanna be the one you tie Tie, tie I just wanna be the one you tie Ties, ties I just wanna be the one you tie  And you're a dancer well I'm a spy It's so beautiful to see you lie Are you having fun? So give it up, don't need that stress Because you're still hungry for another test Are you having fun?  Oh, tell me how did it feel? Did it all get too real for you? Everybody's screaming out your name Are you scared? 'Cause I don't think you're worth it  Tie you, tie you, tie you, tie you I just wanna be the one you tie Tie, tie I just wanna be the one you tie Tie, tie I just wanna be the one you tie  Just another bite that takes it higher than before Did it make you feel good? Does he run away? Does he fill the space? It feels like you're OK Just another bite that takes it higher than before Did it make you feel good? Does he run away? Does he fill the space? It feels like you're OK  I just wanna be the one you tie Tie you, tie you, tie you, tie you I just wanna be the one you tie Tie, tie I just wanna be the one you tie Tie, tie I just wanna be the one you tie"
7,King,"I caught you watching me under the light Can I realign? They say it's easy to leave you behind I don't wanna try  Cut cover take that test Hold courage to your chest Don't wanna wait for you Don't wanna have to lose All that I compromised to feel another high I've got to keep it down tonight  And oh, oh, oh I was a king under your control And oh, oh, oh I wanna feel like you've let me go So let me go  Don't you remember how I used to like Being on the line? I dreamed you dreamed of me calling out my name Is it worth the price?  Cut cover take that test Hold courage to your chest Don't wanna wait for you Don't wanna have to lose All that I compromised to feel another high I've got to keep it down tonight  And oh, oh, oh I was a king under your control And oh, oh, oh I wanna feel like you've let me go So let me go  I had to break myself to carry on No love and no admission Take this from me tonight Oh, let's fight Oh, let's fight Oh, let's fight Oh, let's fight  And oh, oh, oh I was a king under your control  And oh, oh, oh  I wanna feel like you've let me go  So let me go   Let go, let go, let go of everything Let go, let go, let go of everything Let go, let go, let go of everything Let go, let go, let go of everything"
8,Desire,"I must be tough I must behave, I must keep fighting Don't give it up I want to keep us compromising  Open your arms and pray To the truth that you're denying Give in to the game To the sense that you've been hiding  Where are you taking me? I can't be blamed I want you to want me again  Is it desire Or is it love that I'm feeling for you I want desire Cause your love only gets me abused  Give me that rush I want to show you what you've been missing Am I enough To keep your other lovers hidden  Where are you taking me? I can't be blamed I want you to want me again  Is it desire Or is it love that I'm feeling for you I want desire Cause your love only gets me abused  Is it desire Or is it love that I'm feeling for you I want desire I wanna see what you're willing to lose  You know that you've got me You've locked me down You tell me you want me You need it now You know that you've got me You've locked me down You tell me you want me now  Is it desire Or is it love that I'm feeling for you I want desire Cause your love only gets me abused  Is it desire? Or is it love that I'm feeling for you? I want desire I wanna see what you're willing to lose"
9,Gold,"Am I defined? Oh Oh, by the way they look at me Will I be tried? Oh Will they take what I believe?  I shiver on the one I breathe for two I give you what you want I bend the truth And everything's aflame, it's all aglow I know that I can play that game, I'll fool them all  Oh, like gold, let it lead me astray Like gold, let it take me away And if I turn my back and I leave it all I'll be running fast, 'cause I can't be owned Oh, like gold  Do I belong? Oh I see it start to fade Teach them a song, oh Now I feel I've been betrayed  I shiver on the one I breathe for two I give you what you want I bend the truth And everything's aflame, it's all aglow I know that I can play that game, I'll fool them all  Oh, like gold, let it lead me astray Like gold, let it take me away And if I turn my back and I leave it all I'll be running fast, 'cause I can't be owned Oh, like gold  Everything is brighter now It shimmers like a stone And everything surrounds you now It's you and you alone  Oh, like gold Oh, like gold And if I turn my back and I leave it all I'll be running fast, 'cause I can't be owned Oh, like gold  I'm gonna be the one who sets it all alight I'm gonna be the one who sets it all alight I'm gonna be the one who sets it all alight I'm gonna be the one who sets it all alight"
